,RF,pgm,pgi,gapC,zwf,rpe,WT_0_5,WT_0_7
b0957,45.27868064,27.11204725,48.38711331,25.52916434,33.38732231,48.57376193,38.18835732,40.37123132
b0929,42.1730871,20.90422926,38.39003592,74.45592903,46.87583548,19.7228406,26.734786,26.52108673
b1480,38.35148451,63.77907546,31.10485724,18.80900285,39.62768548,58.15978887,9.821684187,4.977664741
b3299,29.20145616,29.8808518,33.59843571,68.12291893,32.7722377,21.35074588,30.07908144,48.99654217
b2093,36.7784366,37.03606957,35.0839094,21.9553249,32.07348978,20.73957793,41.53708418,11.65104831
b2092,38.64924117,27.11891201,26.0149875,29.25533365,34.04417998,22.65689046,25.03768076,5.463170758
b3300,27.17643056,19.81223176,23.13147768,47.16534807,26.13903399,20.63277227,34.69709725,43.40354091
b0953,33.69735587,58.45727236,42.30231208,17.17249759,29.18279791,49.75955679,4.970997713,1.544724341
b0728,30.54726094,27.08963986,41.38272348,31.91223949,29.80187062,29.31429626,25.91314596,25.46152345
b1419,37.48757951,27.56769998,21.81158171,37.87610262,33.21528571,65.43792513,8.019214023,4.461596047
b3342,27.19829488,24.79715038,37.73733109,33.93012099,39.07017028,24.85422629,39.68066659,47.6545301
b3319,25.77158617,22.28392802,29.27648018,49.48758831,32.80406316,10.76563276,40.43289719,59.33766343
b3307,10.53627849,8.488166324,10.5023508,11.5299925,7.801198069,12.85028691,16.76454223,7.864323662
b1415,37.65200363,26.30904483,20.79359752,33.591834,48.31124812,39.10852039,7.797024603,2.064176518
b2095,36.4894248,31.22303249,31.71416372,43.40377486,33.40303386,18.06535903,22.75574954,12.27128034
b3737,24.94292558,24.40906602,30.22717581,26.29382688,30.27371186,13.79898169,32.51415938,29.26341909
b4015,31.52542033,20.14786393,34.71367491,22.52072702,29.82184407,29.94403637,13.53259056,6.03471456
b3308,27.46882086,21.99246408,29.45739357,25.50753903,35.34700379,17.66021159,33.28107187,49.02804785
b1088,26.62299362,29.42058546,21.1578325,44.97594736,34.24862726,20.10916432,28.89630025,30.99794327
b4014,30.76252148,19.00438254,39.11731867,26.90768751,29.53817412,29.12202239,12.28665771,9.517315842
b0169,24.8913688,15.19057516,25.40148139,45.72493675,26.23915912,21.04729685,40.3395196,39.796695
b0598,33.36331847,14.00102168,11.44020586,26.54572954,29.59665976,61.16333866,29.98825268,2.144792821
b3985,19.90186097,18.81655904,20.76254979,43.82976215,27.17309994,21.09720266,31.5393161,42.81550443
b0565,24.810691,27.6229192,27.5391242,25.87286402,26.33262678,32.99866426,29.62195113,43.30606095
b3321,20.67093266,22.26051357,20.23589277,40.98194626,27.08653828,8.287522327,38.32791906,48.43838997
b2094,27.189947,20.05429619,33.07270293,24.41154917,29.99460022,15.92760711,20.36945339,7.66042437
b0880,34.11319985,25.20997692,21.62961683,28.33239291,12.56843248,56.36122091,7.662970044,1.829412095
b1677,27.08331535,23.39091023,27.63441947,25.91843758,25.60324081,30.05332725,24.75627399,17.38969999
b1717,25.70796554,22.19397805,32.02940396,64.75463765,31.59496873,25.5326893,29.10121482,18.00030678
b3185,20.76934214,27.76919896,34.05400994,25.45950267,32.22197477,18.17604118,41.37133891,41.32050086
b0553,27.03125982,17.90373486,15.70193179,27.72967934,39.99333152,19.2374124,49.51092335,16.00154618
b2224,16.57224545,20.5790896,17.05269852,21.9821848,15.30885402,16.89469198,14.57323878,12.51079904
b3297,23.68310117,27.71637073,35.84913633,27.11569209,31.51686984,13.54691429,33.11750882,35.16200007
b3296,22.72971325,17.1487137,23.97906625,15.29298633,30.36447684,18.05887112,31.41185038,34.49818539
b3340,26.36155031,25.04465562,21.05782011,24.00047961,38.46996947,25.91229147,29.9112441,23.13424722
b0419,8.116599895,8.113969118,13.43044038,11.95991076,8.719923516,8.173402481,9.691006262,11.13306294
b3734,26.37294549,9.762713768,13.97951518,9.268898036,22.01764894,14.41005499,33.62089478,27.32859542
b2597,24.08192143,34.12052746,18.27470828,13.49869162,19.94954158,79.72230953,14.89468243,4.655842694
b0862,22.04061794,25.08232185,26.32321983,24.93918601,11.65452759,23.29022842,29.30554691,28.73444568
b2608,22.40808356,23.99500967,21.28940852,34.41630921,12.96871308,23.33843607,22.56852572,32.05398391
b3306,22.07898442,17.63673757,26.45377428,14.05319539,20.23534396,10.13303126,33.69032372,39.44727589
b2530,22.68104345,18.07136391,34.08237257,21.01582569,26.92463276,25.17906124,15.46262787,23.4568816
b3986,16.99304972,26.89889983,19.32020842,18.39659752,22.29557201,11.56471101,38.45761439,45.74842865
b3310,18.43392312,22.41930781,18.33032184,17.07628307,19.68920132,9.201809548,18.68625248,29.29045639
b0440,23.51785368,20.34302856,18.68916025,11.88906318,28.81539971,14.01232042,15.78268808,9.691489855
b0406,23.31647689,29.50268729,13.84496477,36.29324754,28.20653096,27.39557387,25.96186255,23.3490301
b3186,19.48357347,21.99880063,27.26322957,38.23379215,18.75644415,19.77632919,33.1111301,41.35853424
b3341,20.25226124,22.29874747,12.19792712,24.63826454,18.50657985,16.77758698,27.00431291,34.20794894
b2415,18.33570724,28.0379927,26.64897697,32.71753538,20.07883402,18.55701217,42.54889445,29.44995191
b3339,22.1241277,20.5454472,23.26715769,27.60881061,22.92547,15.53351607,25.51545776,27.41576525
b4200,19.38137711,21.57194613,22.28363032,31.6274325,20.16899792,9.399276505,38.4269478,31.4713953
b3460,24.00708926,19.13703305,19.43952781,37.44763512,30.17053019,11.98577044,19.57675529,15.2054906
b0259,23.88902786,19.86009823,13.61523434,29.69595404,25.12306579,25.50237848,35.29769088,16.3861242
b4201,19.66667312,16.01631759,21.28728549,9.196852432,29.40789943,12.56117698,35.27600374,31.54990189
b3312,19.41709202,20.57602037,22.04897879,22.07867515,14.15154478,13.02916013,29.52177553,34.73762859
b1713,26.16568525,10.85624078,24.30786583,18.76471748,17.26595,18.09615573,13.48437788,12.22354665
b3315,19.71545677,23.80269814,29.42905981,22.25644526,20.63072018,9.011641222,35.03312947,44.66937937
b3316,20.41347753,13.38549416,23.31853016,12.75242514,29.44479681,15.29483229,31.41016342,40.12410439
b2741,25.02726976,21.37679521,13.82369535,15.53877632,23.13241179,22.2320211,8.692744581,6.095911312
b0741,22.52007068,17.34190866,18.36025329,11.79863692,16.16566333,15.06271412,28.47090449,29.03157699
b1093,26.06357941,19.61019797,16.55395252,12.30545926,25.66795541,17.08591722,17.49131789,17.91735404
b4171,20.4810062,39.98122481,15.49466198,15.5945882,14.91700829,25.97535039,12.07357358,12.08221216
b1094,21.89118087,22.65139758,21.18848236,27.85200749,22.61850757,21.1903564,21.49806366,23.24797696
b3320,16.57597661,21.47451459,20.25868815,11.2622145,18.13059652,5.496230416,29.39654444,32.02127004
b3318,20.04939218,32.56870615,23.05915836,10.11581037,19.70955055,8.700292751,42.05032539,36.67794465
b2019,16.07944525,25.0278321,16.42912175,17.21470289,18.23355768,43.88646869,16.00538343,15.22563359
b1994,19.90219649,21.97990405,9.221682929,27.79495667,13.23404223,17.83945288,21.52778697,16.16422453
b3739,16.97821023,19.4099126,11.78025845,16.11364412,30.46056683,15.34597585,28.33124571,21.74322037
b0812,23.74147659,37.71139058,19.9580801,10.77230713,8.154861407,53.59624618,9.618814778,7.684069432
b0720,7.130720469,7.563426471,14.00562891,9.690273058,5.689493801,5.709144878,7.379389522,4.425088597
b1261,15.79101183,14.565414,43.00765852,17.54007332,17.76120501,30.70521355,26.77390432,30.84388164
b1818,8.000570683,5.131776321,12.41701939,12.54133596,10.95560994,7.022273608,4.049758257,4.63348885
b2416,21.00609918,20.91814827,26.97248314,31.56101471,16.02809442,24.42790621,20.49575743,16.30788538
b0881,20.36711543,17.12495528,21.4710613,28.1909805,24.03764277,22.81777535,11.66262811,13.35983259
b1778,23.44929298,20.74028989,24.48502543,25.41794943,15.95746314,27.62557061,13.22466133,12.14525386
b3368,17.5347146,18.91140644,16.69953585,46.71947039,13.98770432,19.74341375,11.17359671,16.07503539
b2285,21.01607641,14.48092854,19.93649128,20.74706746,21.49028407,17.57327259,28.01231298,15.8616636
b3908,19.10263917,22.67619461,20.14265706,32.51411901,23.4989034,17.95419492,16.00023702,17.40551957
b2281,18.7552152,12.12023528,13.17451427,19.57280257,15.29120502,12.09942679,26.09415959,16.46278681
b0072,22.11324285,13.348766,21.01207712,35.50541699,26.80195761,14.39782918,24.73442066,13.9386642
b1136,21.12116278,22.65908316,24.01213267,17.22706869,24.35733419,19.73790246,19.20000089,18.68402743
b2215,22.0527144,27.04805909,15.30596405,15.87329576,19.22562102,19.81126371,18.06239231,20.55326211
b3195,16.80180281,18.2393053,10.67590396,26.01069307,19.28834066,26.36740105,13.17497137,12.92855102
b2091,26.52218316,16.19812367,15.3635873,13.03986109,24.97397237,9.663574601,12.36742905,2.933307358
b3309,19.5896372,19.48092017,25.84716204,31.51636618,17.98477231,9.72353681,27.10081583,29.02409035
b1004,20.28755385,25.88630634,22.82143956,20.66431286,19.09947811,26.31567148,14.78149467,9.508075101
