Taxon,mean,SD,minimum,maximum,non_zero_count
Acetivibrio,4.067188671731714e-06,4.587879215447097e-06,0.0,1.1060887728972945e-05,3
Acinetobacter,2.3429860453424702e-07,5.239076067719168e-07,0.0,1.171493022671235e-06,1
Actinomyces,3.4813633844121334e-05,6.505063670300229e-05,2.2332040395771047e-06,0.00015082589630829212,5
Acutalibacter,1.1527333692612531e-05,1.9506081036925667e-05,0.0,4.502563388662724e-05,2
Adlercreutzia,4.0491907131584004e-05,2.8413982462231595e-05,9.962080337403707e-06,7.773692986154124e-05,5
Aeromicrobium,3.131440002079276e-07,7.002112712111344e-07,0.0,1.565720001039638e-06,1
Agathobacter,0.0005265442162915353,0.0005261246856682752,1.171493022671235e-05,0.0014118097249374417,5
Agathobaculum,8.284217972086958e-06,6.928610324320976e-06,2.789382494473038e-06,1.9836106469184873e-05,5
Aggregatibacter,5.32344800353477e-07,1.1903591610589283e-06,0.0,2.6617240017673847e-06,1
Akkermansia,0.0010330613665128154,0.0014183854690799165,0.0,0.0027918991443018947,3
Alcaligenes,3.131440002079276e-07,7.002112712111344e-07,0.0,1.565720001039638e-06,1
Alistipes,0.03848458620324623,0.03523262921666083,0.0005163955929163293,0.07230059501513439,5
Allisonella,5.209796827965078e-05,0.00011649459856292692,0.0,0.0002604898413982539,1
Allofournierella,3.5487790903163214e-05,6.26219057538451e-05,1.0878149496232897e-06,0.00014639482009720615,5
Alloprevotella,8.830660805863559e-06,1.9745957848153988e-05,0.0,4.4153304029317796e-05,1
Amedibacillus,4.3840160029109864e-07,9.802957796955881e-07,0.0,2.1920080014554933e-06,1
Amedibacterium,7.685175860199474e-06,1.1297820960521454e-05,0.0,2.5026655063534744e-05,2
Anaerobutyricum,0.00038718596147470266,0.0006332948412285444,0.0,0.0014973537105423779,3
Anaerococcus,1.8728711034318968e-06,4.1878671003687616e-06,0.0,9.364355517159484e-06,1
Anaerofustis,6.123980088426368e-07,9.046656607368627e-07,0.0,2.0110704961768993e-06,2
Anaeroglobus,1.0525949865580157e-06,1.2342670828358115e-06,0.0,3.016605744265349e-06,3
Anaerostipes,0.0005483479410264495,0.0006858146193381868,3.929957202609492e-05,0.0017230405106688966,5
Anaerotignum,0.0015983534310809594,0.002281492158749067,2.4266641183904153e-06,0.005209119489652875,5
Anaerotruncus,0.0013262783529650805,0.0014519014045445671,3.849191360205486e-05,0.003377369446051749,5
Bacteroides,0.3301855995991859,0.08928711677662293,0.22310397702186396,0.4322577916160528,5
Barnesiella,0.001339590520143712,0.0027590169500977283,6.0165144125077294e-05,0.006274153188166038,5
Bifidobacterium,0.00011754391367119778,0.00015503027046097478,2.2593079722945246e-06,0.00038345427008973934,5
Bilophila,0.00015987054963128417,0.0003244474943796588,0.0,0.0007388632684906052,3
Blautia,0.0028306123683371986,0.0025604869849516786,0.0007480819730486315,0.00718365553848256,5
Borkfalkia,1.0345037148039593e-05,2.1394712873227858e-05,0.0,4.853732003222878e-05,2
Brevibacterium,2.101839096072569e-07,4.6998550965849755e-07,0.0,1.0509195480362845e-06,1
Butyricicoccus,9.622404952356338e-06,7.245304346835693e-06,0.0,1.9414928012891512e-05,4
Butyricimonas,3.6452427392022e-05,6.683646672552361e-05,0.0,0.00015540845326349783,3
Campylobacter,3.7015867780003926e-06,4.818518133204778e-06,0.0,1.1507792283678923e-05,3
Christensenella,3.151768217578814e-06,5.732789375440316e-06,0.0,1.3349187652120968e-05,3
Citrobacter,1.5142362112853633e-06,3.3859351024258066e-06,0.0,7.571181056426817e-06,1
Cloacibacillus,5.379663513088672e-06,9.764853731522809e-06,0.0,2.2514301562532376e-05,2
Clostridioides,3.618957981339796e-06,2.7088069765838887e-06,0.0,6.732596004470444e-06,4
Clostridium,0.011182365108533607,0.012918597648923422,0.0008012175494340768,0.027138158218827986,5
Colibacter,2.681427328235866e-07,5.995853782661037e-07,0.0,1.3407136641179328e-06,1
Collinsella,6.715201013831137e-06,1.2561077945891148e-05,0.0,2.8890032978470747e-05,2
Coprobacillus,0.00031098181469033765,0.00020079008781040614,9.463990061722621e-05,0.0005481859092444269,5
Coprobacter,5.108766848576469e-05,2.550924012376657e-05,1.7931744607326672e-05,7.812942805187794e-05,5
Coprococcus,0.00016907578952382856,0.00026201889960687156,1.5062053148630165e-06,0.0006298027189306623,5
Corynebacterium,5.041820679708368e-06,3.970253250785715e-06,0.0,9.19554604531749e-06,4
Culturomica,2.24197866438971e-05,3.943246242957427e-05,2.6814273282358655e-06,9.27989830101714e-05,5
Cuneatibacter,9.040730591943637e-06,1.4544589771690328e-05,0.0,3.3964746157654295e-05,3
Cutibacterium,3.6369044233544647e-05,1.6974049873809733e-05,1.2289875254414383e-05,5.8993041498801475e-05,5
Delftia,3.9848321349614824e-07,8.910355532699491e-07,0.0,1.9924160674807413e-06,1
Dellaglioa,2.3908992809768895e-07,5.346213319619695e-07,0.0,1.1954496404884448e-06,1
Desulfitobacterium,1.3136494350453557e-06,2.93740943536561e-06,0.0,6.5682471752267784e-06,1
Desulfovibrio,0.0004261889842829895,0.000952987540118354,0.0,0.0021309449214149474,1
Dialister,0.0036596352997331203,0.0035098839482185125,0.0,0.007593690467425295,4
Dorea,0.0003145706384763498,0.00037297604268169576,1.0878149496232897e-06,0.0009248689759640207,5
Ectopseudomonas,2.6978786285691104e-06,4.9000781789400085e-06,0.0,1.129738514139006e-05,2
Eggerthella,3.2323130967278304e-05,2.620614825791245e-05,0.0,5.999693646927749e-05,4
Eisenbergiella,0.00012663336053224774,0.00014744354251331905,2.34298604534247e-06,0.00030590616769624165,5
Emergencia,2.779527148827797e-05,5.3390007801582245e-05,0.0,0.0001224393040812997,2
Enterobacter,4.717049131071054e-06,9.892917958135499e-06,0.0,2.2389796014866824e-05,2
Enterocloster,0.020255618168154042,0.018376135527535416,0.0005851095643885127,0.039844669383920846,5
Enterococcus,3.768223094101985e-06,5.661752584561924e-06,0.0,1.3621764009044852e-05,3
Escherichia,0.0012389658575325056,0.0013541886318824733,4.518615944589049e-06,0.0027907168598103535,5
Eshraghiella,1.1273184007485396e-06,2.5207605763600845e-06,0.0,5.636592003742697e-06,1
Eubacterium,0.0007614821468412509,0.001181981558199179,1.4141594345102767e-05,0.0028041263733723956,5
Extibacter,1.0644516625725732e-06,1.5372002743115866e-06,0.0,3.351784160294832e-06,2
Faecalibacterium,0.013772181060787567,0.013998358521753436,0.00312976977899556,0.03615398347729204,5
Faecalicatena,5.371446175401341e-05,7.875421693417451e-05,2.7613764105821972e-06,0.0001916704256916473,5
Faecalimicrobium,1.283890400852503e-06,2.870866211965651e-06,0.0,6.419452004262516e-06,1
Faecalispra,2.5249009987248897e-06,3.4960494042778477e-06,0.0,7.045740004678372e-06,2
Faecalitalea,1.3350238633801e-06,1.8283924160953913e-06,0.0,3.38710731471726e-06,2
Flavonifractor,0.002113387906486676,0.00248001746381134,2.3931928891712374e-05,0.005187076159220092,5
Frisingicoccus,2.395704127878221e-06,2.8379841287085085e-06,0.0,6.927020597942653e-06,3
Fructilactobacillus,6.480116043236675e-07,1.4489979974764173e-06,0.0,3.2400580216183376e-06,1
Fusicatenibacter,0.00048526073437067126,0.00040294498090229507,5.606430894212339e-06,0.001115920673100826,5
Fusobacterium,3.1728324416091605e-06,3.8977883109882405e-06,0.0,9.962080337403707e-06,4
Gabonia,3.7234055275274864e-06,3.733326459528839e-06,0.0,7.571181056426817e-06,3
Gabonibacter,3.0960887027739782e-06,6.923064803771757e-06,0.0,1.548044351386989e-05,1
Gemella,1.5142362112853633e-06,3.3859351024258066e-06,0.0,7.571181056426817e-06,1
Gemmiger,3.923102316095438e-05,4.892606528076001e-05,3.2841235876133892e-06,0.00012352979618380597,5
Gordonibacter,2.0602237153183288e-05,2.2300415321995907e-05,0.0,5.3963724980746793e-05,4
Granulicatella,1.7134778180334375e-06,3.831452879060781e-06,0.0,8.567389090167188e-06,1
Haemophilus,0.00012878025764398695,0.0002376580132763557,0.0,0.0005519163003664724,3
Hallella,1.3173086991520515e-05,2.879955141318736e-05,0.0,6.468315046606176e-05,2
Holdemanella,1.5486278468128453e-06,1.3045075559602856e-06,0.0,3.5752364376478206e-06,4
Holdemania,0.00010147408196668715,7.90230163513928e-05,0.0,0.00020557609516474968,4
Hoylesella,3.800813310552572e-05,5.169251935319986e-05,0.0,0.00010482922491661938,3
Hungatella,0.0009459095213469633,0.0015686095396708847,6.200251204116967e-05,0.003739991474877918,5
Intestinibacter,1.3764426740651844e-05,2.520226099482248e-05,0.0,5.8577032383933797e-05,4
Intestinimonas,0.0022102253647261214,0.001485180930666322,0.00012359251389181528,0.003952312155680989,5
Johnsonella,7.963089297489865e-07,1.0904853699777485e-06,0.0,2.0110704961768993e-06,2
Klebsiella,6.34567128732826e-05,0.00011729181156788199,0.0,0.00027205679799789315,4
Lachnoclostridium,0.0002309031481309285,0.0001382317683250806,9.190776406102675e-05,0.00043182152598465084,5
Lachnospra,0.0013946356624367359,0.0015344253657836877,3.313651692698636e-05,0.003453454769764369,5
Lacrimispra,3.9848321349614824e-07,8.910355532699491e-07,0.0,1.9924160674807413e-06,1
Lactobacillus,3.3676467110545835e-06,5.39128830224824e-06,0.0,1.236918800821314e-05,2
Lactococcus,3.9616411791547145e-05,6.758577272607026e-05,0.0,0.0001593932853984593,4
Lactonifactor,8.605115004017141e-06,6.149823539125467e-06,1.7222920011436018e-06,1.854653902029807e-05,5
Lancefieldella,7.969664269922965e-07,1.7820711065398982e-06,0.0,3.984832134961483e-06,1
Leuconostoc,6.77421462943452e-07,1.5147604405589134e-06,0.0,3.38710731471726e-06,1
Leyella,1.21603822984392e-05,1.5711771729468747e-05,0.0,3.8254388495630234e-05,4
Limosilactobacillus,6.57602400436648e-07,1.4704436695433823e-06,0.0,3.28801200218324e-06,1
Longicatena,1.2494708500683702e-05,1.7375911195881452e-05,0.0,4.223922063059172e-05,4
Marvinbryantia,1.3692296141407237e-06,2.130404155545704e-06,0.0,4.853732003222878e-06,2
Massilimicrobiota,2.3908992809768895e-07,5.346213319619695e-07,0.0,1.1954496404884448e-06,1
Massilioclostridium,7.981118805497857e-05,0.00010694992481269779,0.0,0.0002412167334025514,4
Mediterraneibacter,0.002613423742934701,0.0049469553764130165,0.0002276556881511634,0.011452432111560946,5
Megaspaera,0.00013835600083158154,0.00024808309993557004,1.156011502839913e-05,0.000580391114660549,5
Merdibacter,4.081050312025237e-06,4.424617131757017e-06,0.0,1.1429756007589357e-05,4
