Taxon,mean,SD,minimum,maximum,non_zero_count
Acidaminococcales,0.0016791814752385634,0.0025674635656633017,0.0,0.0058135183638601765,2
Actinomycetales,4.304523858627929e-05,8.208959794287136e-05,2.2332040395771047e-06,0.0001894787680174185,5
Bacillales,3.0795914331751663e-06,3.936956242070929e-06,0.0,9.563597123907559e-06,3
Bacteroidales,0.7478463075021571,0.10291566633766049,0.6491911189249242,0.917135863568592,5
Bifidobacteriales,0.00011823496233585818,0.0001555499626700022,2.2593079722945246e-06,0.0003850306494117938,5
Burkholderiales,0.000576205717416597,0.0011748525392104197,0.0,0.0026719011817741426,4
Campylobacterales,3.7015867780003926e-06,4.818518133204778e-06,0.0,1.1507792283678923e-05,3
Christensenellales,1.3496805365618409e-05,2.1376668869623926e-05,0.0,4.9633324032956524e-05,3
Coriobacteriales,0.002045182542143078,0.0016675257921971735,0.0008947940559056009,0.004973824241600177,5
Desulfovibrionales,0.0005860595339142736,0.0012768524680341193,0.0,0.0028698081899055524,3
Eggerthellales,9.34172752520456e-05,5.4349079861092705e-05,4.3036187057584014e-05,0.00017663902524753765,5
Enterobacterales,0.001327724982526745,0.0014434422289210896,4.518615944589049e-06,0.003105992724221239,5
Erysipelotrichales,0.020975770993822775,0.013229252195584264,0.00348945932417237,0.03435928916327231,5
Eubacteriales,0.10642421680177676,0.06702912205484896,0.010942497934406768,0.20019198921226244,5
Fusobacteriales,3.1728324416091605e-06,3.8977883109882405e-06,0.0,9.962080337403707e-06,4
Lachnosprales,0.10349976730864134,0.029980048926037974,0.06313744910072011,0.14774832167787633,5
Lactobacillales,0.00023193840103693242,0.00025926965402387115,6.694245843835629e-06,0.0005999839043983893,5
Micrococcales,5.47858502859511e-06,6.031136791825651e-06,0.0,1.315204800873296e-05,4
Monoglobales,0.0002433345671148021,0.0001503670471427883,0.0,0.00038314160977654657,4
Moraxellales,2.3429860453424702e-07,5.239076067719168e-07,0.0,1.171493022671235e-06,1
Mycobacteriales,5.041820679708368e-06,3.970253250785715e-06,0.0,9.19554604531749e-06,4
Neisseriales,1.1034655254380989e-06,2.4674239257071126e-06,0.0,5.517327627190494e-06,1
Pasteurellales,0.00012931260244434045,0.00023884280167059768,0.0,0.0005545780243682399,3
Peptostreptococcales,0.0011392254283932592,0.001416376625646778,1.2551710957191805e-06,0.002727011592815875,5
Propionibacteriales,9.191132776174726e-05,4.862646337824492e-05,4.243087675196499e-05,0.00016848301712415353,5
Pseudomonadales,3.5314409914752947e-06,6.086572504233014e-06,0.0,1.4056048954985306e-05,2
Sphingomonadales,1.565720001039638e-06,3.501056356055672e-06,0.0,7.82860000519819e-06,1
Synergistales,2.9155203078721626e-05,5.1636413785129714e-05,0.0,0.0001201426888690887,4
Tissierellales,4.991778725456168e-06,7.41222343725053e-06,0.0,1.77325030005786e-05,3
Veillonellales,0.004089090104218095,0.0033423363455283377,0.00039784945226417205,0.008034338358365388,5
Verrucomicrobiales,0.0010330613665128154,0.0014183854690799165,0.0,0.0027918991443018947,3
Victivallales,3.536447509599065e-05,7.246546490630552e-05,0.0,0.0001648703161094739,3
