Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Actinomycetota,0.0053468778186409925,0.0018677473892401843,0.0021792130477967407,0.0013580307915948733,0.0012596897116637694
Bacteroidetes,0.6851285917579404,0.7461028446314123,0.7416795086846021,0.6491923143745646,0.917135863568592
Campylobacterota,1.1507792283678923e-05,0.0,4.9918678531723515e-06,0.0,2.0082737531506887e-06
Firmicutes,0.3045246739915068,0.2315710841577632,0.24439449365448207,0.32996482190191256,0.08106539257316936
Fusobacteriota,2.234522773529888e-06,1.565720001039638e-06,2.101839096072569e-06,9.962080337403707e-06,0.0
Lentispaerota,7.485651291325125e-06,0.0001648703161094739,4.4664080791542094e-06,0.0,0.0
Pseudomonadota,0.00040645969250508666,0.0036914980464511546,0.0031731202103520567,0.002920284230106523,7.02895813602741e-06
Saccharibacteria,1.4524398027944271e-06,0.0,1.0509195480362845e-06,5.77800659569415e-06,0.0
Synergistota,1.8993443575004047e-06,2.176350801445097e-05,1.9704741525680337e-06,0.0001201426888690887,0.0
Thermodesulfobacteriota,0.0,0.0028698081899055524,0.0,5.3795233821980016e-05,6.694245843835629e-06
Verrucomicrobiota,0.0023640133682559447,9.394320006237829e-06,0.0027918991443018947,0.0,0.0
