Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
Actinomyces,2.234522773529888e-06,1.4561196009668635e-05,2.2332040395771047e-06,0.00014305547364511722,3.0960887027739782e-06
Adlercreutzia,0.0,0.0,0.0,0.0,1.5062053148630165e-06
Akkermansia,0.0006685692138401425,0.0,0.0007859564569876363,0.0,0.0
Alistipes,0.0,0.0021428443934228486,0.0,0.0020713157437529787,0.0011449670735150363
Allofournierella,4.0221409923537985e-06,0.00014639482009720615,3.021393700604318e-06,2.2912784776028525e-05,1.0878149496232897e-06
Amedibacterium,2.5026655063534744e-05,0.0,1.3399224237462628e-05,0.0,0.0
Anaerotruncus,5.586306933824719e-06,0.0005811952643859136,5.123232796676887e-06,2.0123402281555486e-05,2.34298604534247e-06
Bacteroides,0.029063320453916488,0.042334876820110355,0.02453831462192972,0.017341590968138875,0.018589920708331542
Barnesiella,0.00011083232956708244,0.004084180622711896,6.0165144125077294e-05,4.961116008027046e-05,3.5981571410616504e-06
Bifidobacterium,3.686962576324315e-06,5.9497360039506245e-06,1.0509195480362845e-06,3.1081690652699564e-05,2.2593079722945246e-06
Blautia,0.006837751413140134,0.0010521638406986366,0.0027865131816182083,0.001432746394125401,0.0005520242478972955
Borkfalkia,0.0,4.853732003222878e-05,0.0,3.187865707969186e-06,0.0
Butyricicoccus,0.0,0.0,0.0,1.1954496404884448e-06,0.0
Christensenella,0.0,1.0960040007277466e-06,0.0,5.379523382198002e-06,0.0
Clostridium,0.015444351053806525,0.0017291811691481764,0.022794576361850515,0.0017644836693609446,0.0006877500823810629
Collinsella,0.0,0.0,0.0,1.3349187652120968e-05,2.4266641183904153e-06
Coprobacillus,0.0004950585204755467,0.00018726011212434073,0.0005458213402613453,0.00022334984116459113,9.463990061722621e-05
Coprococcus,2.0892787932504452e-05,4.791103203181293e-05,3.3103965763142965e-05,0.0003496690198428701,1.5062053148630165e-06
Dorea,0.0007591791123067795,0.0001111661200738143,0.00017996997260121374,3.0085482618959195e-05,1.0878149496232897e-06
Eggerthella,1.7876182188239104e-05,0.0,1.6289252994562413e-05,1.2352979618380597e-05,0.0
Enterocloster,0.0013201560546014578,6.247222804148155e-05,0.0010641874073302427,9.204962231761026e-05,0.00016902970755684963
Eubacterium,7.943728459898752e-05,0.0004166380922766477,5.3859626836859586e-05,0.0020236969997401892,1.4141594345102767e-05
Faecalibacterium,0.0006817528982039689,0.003435815970281382,0.00030121981545590005,0.011783347864687852,0.0009828826460211663
Faecalicatena,1.7987908326915598e-05,4.5249308030045535e-05,1.0903290310876452e-05,0.0001916704256916473,2.7613764105821972e-06
Faecalimicrobium,0.0,6.419452004262516e-06,0.0,0.0,0.0
Faecalispra,0.0,7.045740004678372e-06,0.0,5.578764988946076e-06,0.0
Flavonifractor,0.001234797284652616,0.0003569841602370375,0.001752802441181018,0.00018449772784871665,7.782060793458918e-06
Fusicatenibacter,0.0007159410966389761,0.00021356420814180662,0.0001835168260758362,0.0002540330486037945,4.267581725445213e-06
Fusobacterium,2.234522773529888e-06,1.565720001039638e-06,2.101839096072569e-06,9.962080337403707e-06,0.0
Haemophilus,0.0,2.5051520016634208e-06,0.0,0.0,0.0
Intestinimonas,0.002223908790355621,0.0020149250693379103,0.0010082259413973105,0.001357233825167881,1.8325497997500034e-05
Klebsiella,0.0,0.0,2.6929813418429793e-05,0.0,0.0
Lachnoclostridium,0.00043182152598465084,9.190776406102675e-05,0.00017497810474804138,0.00014544637292609412,0.0003103619729348293
Lachnospra,0.0005845511575554187,0.002604888365729646,0.00029714750220725944,0.003453454769764369,3.313651692698636e-05
Lacrimispra,0.0,0.0,0.0,1.9924160674807413e-06,0.0
Massilimicrobiota,0.0,0.0,0.0,1.1954496404884448e-06,0.0
Mediterraneibacter,0.0007112485988145633,0.00021982708814596518,0.0002692981341842979,0.00022593998205231605,0.011363314963764885
Megaspaera,1.4300945750591284e-05,6.560366804356083e-05,1.156011502839913e-05,1.9924160674807414e-05,0.000580391114660549
Minimicrobia,1.4524398027944271e-06,0.0,1.0509195480362845e-06,5.77800659569415e-06,0.0
Odoribacter,8.044281984707597e-06,0.006444816668279358,1.7077442655589625e-05,0.01242390963038291,0.00018417543877852774
Oscillibacter,0.003306423347992175,0.0010131774126727498,0.002566608266191616,0.0036985219460645,0.00010066472187667826
Oxalobacter,0.0,0.0,0.0,1.394691247236519e-06,0.0
Parabacteroides,0.0004148391529058237,0.0025596390576996006,9.15613656226613e-05,0.0026497141281426376,0.00048792684394256944
Prevotellamassilia,1.7876182188239103e-06,1.7066348011332055e-05,0.0,1.1954496404884448e-06,3.263444848869869e-06
Propionibacterium,0.00015619314186973916,5.542648803680319e-05,0.0,6.296034773239143e-05,0.0
Roseburia,7.016401508883848e-05,0.00036042874423932467,9.024771618761593e-05,0.00014504788971259796,0.0
Ruminiclostridium,3.5752364376478206e-06,0.00012917190008577013,3.021393700604318e-06,4.443087830482053e-05,3.5144790680137053e-06
Ruminococcus,0.00038735452279140605,0.0029015923059266574,0.0004666082793281103,0.01537467782632189,5.012316575571927e-05
Sanguibacteroides,0.0,1.1429756007589357e-05,0.0,5.578764988946076e-06,0.0
Soleaferrea,0.0,0.0,1.0509195480362845e-06,0.0,0.0
Sphingomonas,0.0,7.82860000519819e-06,0.0,0.0,0.0
Streptococcus,2.4803202786181757e-05,0.000233605424155114,1.2479669632930879e-05,0.00013488656776844619,2.8450544836301424e-06
Subdoligranulum,0.0008399571105698849,0.000134025632088993,0.0007955460978634674,0.0009982004498078514,0.00015455340091955508
Synergistes,0.0,1.7379492011539984e-05,0.0,9.762838730655633e-05,0.0
Tannerella,5.083539309780495e-05,3.334983602214429e-05,3.32353307066475e-05,0.00022833088133329294,3.5981571410616504e-06
Terrisprobacter,0.0,2.1920080014554933e-06,0.0,5.180281775449928e-06,0.0
Thomasclavelia,7.37392515264863e-06,0.0,4.860502909667816e-06,1.354842925886904e-05,0.0
Turicibacter,0.0,6.732596004470444e-06,0.0,1.534160371960171e-05,0.0
Tyzzerella,0.00023674768785549163,0.0001778657921181029,9.878643751541075e-05,0.00017991517089351093,3.4559044168801435e-05
Veillonella,9.384995648825529e-06,8.533174005666028e-05,1.9704741525680337e-06,1.2751462831876744e-05,0.0
