Taxon,CSM5MCXD,CSM5MCY2,CSM67U9J,CSM67UAW,CSM67UB9
_Bacteroides_pectinophilus,2.4691476647505263e-05,1.7536064011643946e-05,2.0624296130212085e-05,0.00012273282975681368,1.0878149496232897e-06
_Clostridiaceae_bacterium,0.008008082715776412,0.0036529813344255797,0.011072751087997303,0.016657793773779486,0.0005541998777965422
_Clostridium_innocuum,0.00988631083306696,0.005101428907387349,0.009422676032636832,0.005018298349163743,0.0010911620725452076
_Clostridium_leptum,0.003440159535987939,0.0008702271765778308,0.0009118040728649814,0.0014092358845291283,0.00092489374139894
_Clostridium_methylpentosum,2.0557609516474967e-05,1.2682332008421069e-05,9.721005819335632e-06,4.383315348457631e-06,0.0
_Erysipelotrichaceae_bacterium,0.02127120436420174,0.00028151645618692693,0.022200149992492493,0.0008200784533750731,0.0004266744944714734
_Eubacterium_brachy,8.602912678090069e-06,0.0,4.072313248640603e-06,3.984832134961483e-06,0.0
_Eubacterium_saphenum,6.703568320589664e-06,0.0,2.758663813595247e-06,0.0,0.0
_Eubacterium_siraeum,0.00015630486800841567,0.024791923640461837,7.592893734562155e-05,0.004340079919793299,0.0001542186886273633
_Eubacterium_sulci,0.0,1.565720001039638e-06,0.0,4.7817985619537795e-05,0.0
_Lachnospraceae_bacterium,0.008394655155597083,0.022140063674701,0.005762848706600471,0.02219969906547717,0.004303228584563638
_OL,0.0,0.0,0.0,9.962080337403707e-06,0.0
_Oscillospraceae_bacterium,0.035308141249100464,0.027581410394314058,0.01825526073905129,0.0765155512058899,0.001977061831903805
_bacterium,0.10527071410990524,0.11136387050994562,0.093754371989526,0.13033608871192692,0.018529672495737018
_bacterium_2_2_44A,0.0,0.0,0.0,0.0015606595056576647,0.0
_bacterium_21,2.2680406151328362e-05,0.0018104420372021335,0.0,0.0008728774791633127,3.932869433253432e-05
_bacterium_3_1_57FAA_CT1,6.1449376272071915e-06,9.0811760060299e-06,7.225071892749456e-06,2.3311267989524673e-05,0.0
_bacterium_5_2_54FAA,0.00013273065274767534,5.793164003846661e-06,2.1543850734743835e-05,2.6897616910990008e-05,0.0
_bacterium_6_1_37FAA,3.552891209912522e-05,0.0,1.3005129406949022e-05,0.0,0.0
_bacterium_D16,9.35147780722258e-05,0.00023203970415407437,7.855623621571227e-05,4.4231636698072456e-05,9.622978400513716e-06
_bacterium_I46,0.0001575338555338571,0.0,0.0,0.0,0.0
_bacterium_KB18,0.0,2.9748680019753122e-06,1.4450143785498912e-06,5.180281775449928e-06,0.0
_bacterium_MS3,5.698033072501214e-06,0.0,3.349806059365657e-05,0.0,0.0
_bacterium_oral_taxon_082,0.0,0.0,0.0,0.0,1.4225272418150712e-06
_bacterium_oral_taxon_500,1.0055352480884496e-06,0.0,0.0,0.0,0.0
Actinomyces_Actinomyces_sp,2.234522773529888e-06,1.4561196009668635e-05,2.2332040395771047e-06,0.00010699274282371581,3.0960887027739782e-06
Actinomyces_sp_HPA0247,0.0,0.0,0.0,9.762838730655633e-06,0.0
Actinomyces_sp_ICM47,0.0,0.0,0.0,1.6138570146594003e-05,0.0
Actinomyces_sp_ph3,0.0,0.0,0.0,1.0161321944151781e-05,0.0
Adlercreutzia_muris,0.0,0.0,0.0,0.0,1.5062053148630165e-06
Akkermansia_sp_KLE1798,0.0006685692138401425,0.0,0.0007859564569876363,0.0,0.0
Alistipes_sp_HGB5,0.0,0.0015293952970155185,0.0,0.002050793858257927,0.0011001993044343855
Alistipes_sp_cv1,0.0,0.0006134490964073302,0.0,2.0521885495051635e-05,4.476776908065077e-05
Allofournierella_massiliensis,4.0221409923537985e-06,0.00014639482009720615,3.021393700604318e-06,2.2912784776028525e-05,1.0878149496232897e-06
