Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
10FTHF5GLUtl	0.00	1603003.42	-11.47	-29.29	6.34
10FTHF5GLUtm	0.00	1603003.42	-89.74	-107.55	-71.93
10FTHF6GLUtl	0.00	2133063.92	-14.54	-32.36	3.27
10FTHF6GLUtm	0.00	2133063.92	-104.73	-122.54	-86.91
10FTHF7GLUtl	0.00	2186539.58	-15.10	-32.91	2.72
10FTHF7GLUtm	0.00	2186539.58	-119.65	-137.46	-101.84
10FTHFtl	0.00	883587.75	-4.93	-22.74	12.89
10FTHFtm	0.00	883587.75	26.96	9.15	44.78
11DOCRTSLtm	0.00	697595.22	0.00	-17.81	17.81
11DOCRTSLtr	0.00	697595.22	0.00	-17.81	17.81
11DOCRTSTRNtm	0.00	829714.13	0.00	-17.81	17.81
11DOCRTSTRNtr	0.00	829714.13	0.00	-17.81	17.81
13DAMPPOX	-100.23	164424.25	-100.08	-154.44	-82.54
1a_24_25VITD2Hm	-363.80	1174064.64	-363.12	-396.51	-290.82
1a_25VITD2Hm	-412.75	1159442.55	-412.07	-445.46	-339.77
1MNCAMti	16.68	521574.07	17.82	-45.65	23.57
1PPDCRp	-67.33	790201.91	-24.84	-60.47	10.79
24_25DHVITD2t	0.00	837248.28	0.00	-17.81	17.81
24_25DHVITD2tm	0.00	837248.28	-0.00	-17.81	17.81
24_25DHVITD3t	0.00	790875.65	0.00	-17.81	17.81
24_25DHVITD3tm	0.00	790875.65	-0.00	-17.81	17.81
24_25VITD2Hm	-442.62	1155220.24	-441.94	-475.33	-369.65
24_25VITD3Hm	-406.29	1125117.03	-405.61	-439.00	-333.31
24NPHte	0.00	573809.44	2.02	-15.79	19.84
25HVITD2t	0.00	791488.46	0.00	-17.81	17.81
25HVITD2tin_m	0.00	791488.46	0.00	-17.81	17.81
25HVITD3t	0.00	751440.88	0.00	-17.81	17.81
25HVITD3tin_m	0.00	751440.88	0.00	-17.81	17.81
25VITD2Hm	-393.68	1140356.55	-393.00	-426.39	-320.70
25VITD3Hm	-363.80	1114592.98	-363.12	-396.51	-290.82
2AMACHYD	-65.79	299618.24	-65.72	-102.27	-65.99
2AMACSULT	-354.35	971777.10	-354.68	-411.53	-308.57
2AMADPTm	0.00	277894.96	-15.06	-50.69	20.56
2DR1PP	6.72	148981.05	5.97	-29.65	10.72
2HBO	112.27	697384.01	111.90	76.79	133.04
2HBt2	0.00	141421.36	-0.00	-17.81	17.81
2HCO3_NAt	0.00	141421.36	2.66	-69.73	33.98
2MCITt	0.00	286131.67	-8.66	-26.48	9.15
2OXOADOXm	22.30	1303930.01	22.41	-39.74	46.16
2OXOADPTm	0.00	9.98	0.00	-35.63	35.63
34DHOXPEGOX	-123.71	848449.19	-123.34	-144.47	-88.23
34DHOXPEGt	0.00	483275.72	-0.03	-17.84	17.79
