Metabolite ID	Standard Gibbs energy of formation (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed Gibbs energy of formation (kJ/mol)	Minimum transformed Gibbs energy of formation (kJ/mol)	Maximum transformed Gibbs energy of formation (kJ/mol)	Minimum concentration (M)	Maximum concentration (M)
10fthf5glu[c]	-2486.53	100000.03	-529.38	-196559.12	195458.80	1.00e-05	1.00e-02
10fthf5glu[l]	-2486.53	100000.03	-984.09	-197013.83	195004.09	1.00e-05	1.00e-02
10fthf5glu[m]	-2486.53	100000.03	-315.61	-196345.35	195672.57	1.00e-05	1.00e-02
10fthf6glu[c]	-2966.34	100000.03	-748.27	-196778.02	195239.91	1.00e-05	1.00e-02
10fthf6glu[l]	-2966.34	100000.03	-1264.79	-197294.53	194723.40	1.00e-05	1.00e-02
10fthf6glu[m]	-2966.34	100000.03	-505.97	-196535.72	195482.21	1.00e-05	1.00e-02
10fthf7glu[c]	-3406.01	100000.03	-926.95	-196956.70	195061.24	1.00e-05	1.00e-02
10fthf7glu[l]	-3406.01	100000.03	-1502.75	-197532.50	194485.44	1.00e-05	1.00e-02
10fthf7glu[m]	-3406.01	100000.03	-656.18	-196685.93	195332.01	1.00e-05	1.00e-02
10fthf[c]	-516.34	113389.35	395.57	-221877.25	222626.82	1.00e-05	1.00e-02
10fthf[l]	-516.34	113389.35	182.33	-222090.49	222413.58	1.00e-05	1.00e-02
10fthf[m]	-516.34	113389.35	492.37	-221780.44	222723.62	1.00e-05	1.00e-02
11docrtsl[c]	-1465.39	250713.27	-160.61	-491588.32	491225.53	1.00e-05	1.00e-02
11docrtsl[m]	-1465.39	250713.27	-18.11	-491445.81	491368.03	1.00e-05	1.00e-02
11docrtsl[r]	-1465.39	250713.27	-160.61	-491588.32	491225.53	1.00e-05	1.00e-02
11docrtstrn[c]	-1298.03	250713.27	6.74	-491420.96	491392.88	1.00e-05	1.00e-02
11docrtstrn[m]	-1298.03	250713.27	149.25	-491278.45	491535.39	1.00e-05	1.00e-02
11docrtstrn[r]	-1298.03	250713.27	6.74	-491420.96	491392.88	1.00e-05	1.00e-02
13dampp[c]	-22.83	15.54	498.81	438.67	517.40	1.00e-05	1.00e-02
h2o[c]	-220.21	4.38	-133.22	-141.80	-124.64	1.00e+00	1.00e+00
o2[c]	16.40	25.17	16.40	-62.62	53.86	1.00e-05	1.00e-02
bamppald[c]	-130.92	8.82	217.00	170.02	222.42	1.00e-05	1.00e-02
h2o2[c]	-134.03	25.17	-47.05	-126.07	-9.59	1.00e-05	1.00e-02
nh4[c]	-80.20	25.17	93.67	25.61	124.92	7.00e-04	9.00e-04
h2o[m]	-220.21	4.38	-123.72	-132.30	-115.14	1.00e+00	1.00e+00
o2[m]	16.40	25.17	16.40	-62.62	53.86	1.00e-05	1.00e-02
2425dhvitd2[m]	-414.44	106904.51	1708.24	-207854.28	211229.20	1.00e-05	1.00e-02
h[m]	-0.00	0.00	47.50	0.00	0.00	1.00e-08	1.00e-08
nadph[m]	-3117.52	23.66	-1863.22	-1951.16	-1830.96	1.00e-07	4.20e-03
1a2425thvitd2[m]	-579.45	106904.51	1543.22	-208019.30	211064.18	1.00e-05	1.00e-02
nadp[m]	-3147.25	24.30	-1941.26	-2030.45	-1910.41	1.00e-07	1.50e-03
2425dhvitd3[m]	-478.84	106904.51	1643.83	-207918.69	211164.79	1.00e-05	1.00e-02
1a25dhvitd2[m]	-414.36	106904.51	1708.31	-207854.21	211229.27	1.00e-05	1.00e-02
1a25dhvitd3[m]	-485.93	106904.51	1636.75	-207925.77	211157.71	1.00e-05	1.00e-02
h[c]	-0.00	0.00	42.75	0.00	0.00	6.31e-08	6.31e-08
1mncam[c]	-23.93	17.25	367.12	303.63	389.05	1.00e-05	1.00e-02
1mncam[e]	-23.93	17.25	377.95	314.46	399.88	1.00e-05	1.00e-02
atp[c]	-1046.85	100000.00	-526.82	-196543.98	195459.47	1.29e-03	4.90e-03
adp[c]	-1917.81	25.33	-1397.77	-1488.98	-1364.29	1.00e-07	1.90e-03
pi[c]	-1084.61	5.25	-1042.27	-1070.38	-1045.04	1.00e-03	6.30e-03
h[x]	-0.00	0.00	41.56	0.00	0.00	1.00e-07	1.00e-07
1pipdn2c[x]	-310.52	16.75	70.22	7.70	91.18	1.00e-05	1.00e-02
nadh[x]	-2268.71	22.17	-1126.48	-1199.62	-1094.90	1.00e-05	1.00e-02
Lpipecol[x]	-343.57	16.92	121.79	58.94	143.07	1.00e-05	1.00e-02
nad[x]	-2298.18	22.78	-1198.81	-1273.15	-1166.03	1.00e-05	1.00e-02
2425dhvitd2[c]	-414.44	106904.51	1499.23	-208063.29	211020.19	1.00e-05	1.00e-02
2425dhvitd2[e]	-414.44	106904.51	1551.48	-208011.04	211072.44	1.00e-05	1.00e-02
2425dhvitd3[c]	-478.84	106904.51	1434.82	-208127.70	210955.78	1.00e-05	1.00e-02
2425dhvitd3[e]	-478.84	106904.51	1487.08	-208075.45	211008.03	1.00e-05	1.00e-02
25hvitd2[m]	-249.35	106904.51	1873.33	-207689.19	211394.29	1.00e-05	1.00e-02
25hvitd3[m]	-320.91	106904.51	1801.77	-207760.76	211322.73	1.00e-05	1.00e-02
24nph[e]	-279.97	100000.00	-60.16	-196089.85	195927.97	1.00e-05	1.00e-02
24nph[c]	-279.97	100000.00	-65.26	-196094.95	195922.87	1.00e-05	1.00e-02
25hvitd2[c]	-249.35	106904.51	1664.32	-207898.20	211185.28	1.00e-05	1.00e-02
25hvitd2[e]	-249.35	106904.51	1716.57	-207845.95	211237.53	1.00e-05	1.00e-02
25hvitd3[c]	-320.91	106904.51	1592.76	-207969.77	211113.72	1.00e-05	1.00e-02
25hvitd3[e]	-320.91	106904.51	1645.01	-207917.51	211165.97	1.00e-05	1.00e-02
2amac[c]	-297.55	4.83	-80.25	-119.40	-82.66	1.00e-05	1.00e-02
pyr[c]	-476.44	3.99	-345.97	-383.47	-350.02	1.00e-05	1.00e-02
nadph[c]	-3117.52	23.66	-1986.80	-2074.74	-1960.77	1.00e-07	3.75e-04
nadp[c]	-3147.25	24.30	-2060.40	-2149.59	-2043.86	1.00e-07	5.83e-06
paps[c]	-2397.81	18.51	-1919.52	-1985.49	-1895.11	1.00e-05	1.00e-02
Lcyst[c]	-330.52	100000.00	-69.68	-196099.37	195918.45	1.00e-05	1.00e-02
pap[c]	-1888.14	9.72	-1410.13	-1458.87	-1402.96	1.00e-05	1.00e-02
L2aadp[c]	-634.00	8.81	-199.10	-246.05	-193.71	1.00e-05	1.00e-02
L2aadp[m]	-634.00	8.81	-151.70	-198.66	-146.31	1.00e-05	1.00e-02
akg[m]	-804.56	6.71	-611.59	-654.44	-610.30	1.00e-05	1.00e-02
akg[c]	-804.56	6.71	-630.59	-673.44	-629.31	1.00e-05	1.00e-02
2dr1p[c]	-1428.24	6.89	-1037.21	-1080.41	-1035.58	1.00e-05	1.00e-02
drib[c]	-586.96	5.55	-152.03	-192.61	-153.02	1.00e-05	1.00e-02
nadh[c]	-2268.71	22.17	-1094.41	-1173.69	-1071.25	9.26e-07	3.83e-04
nad[c]	-2298.18	22.78	-1167.74	-1236.00	-1141.62	1.05e-04	7.57e-04
2hb[c]	-507.26	9.18	-202.81	-250.50	-196.69	1.00e-05	1.00e-02
2obut[c]	-477.69	10.68	-260.23	-310.85	-251.17	1.00e-05	1.00e-02
h[e]	-0.00	0.00	43.94	0.00	0.00	3.98e-08	3.98e-08
2hb[e]	-507.26	9.18	-194.50	-242.18	-188.38	1.00e-05	1.00e-02
hco3[e]	-556.22	6.93	-511.66	-554.93	-509.95	1.00e-05	1.00e-02
hco3[c]	-556.22	6.93	-512.91	-556.18	-511.20	1.00e-05	1.00e-02
na1[e]	0.00	100000.00	-0.94	-196006.15	195994.26	1.33e-01	1.55e-01
na1[c]	0.00	100000.00	-1.05	-196042.61	195989.44	1.00e-07	2.50e-02
2mcit[c]	-1150.66	7.81	-846.27	-891.26	-842.83	1.00e-05	1.00e-02
2mcit[e]	-1150.66	7.81	-837.93	-882.93	-834.50	1.00e-05	1.00e-02
nadh[m]	-2268.71	22.17	-966.16	-1051.17	-940.27	1.00e-07	1.10e-03
nad[m]	-2298.18	22.78	-1043.93	-1108.18	-1011.90	5.00e-04	7.50e-03
2oxoadp[m]	-742.72	7.35	-453.26	-497.36	-450.73	1.00e-05	1.00e-02
coa[m]	-3125.11	28.22	-1581.42	-1652.51	-1540.42	2.20e-03	3.90e-03
co2[m]	-386.00	25.17	-386.00	-465.02	-348.54	1.00e-05	1.00e-02
glutcoa[m]	-3586.38	29.25	-1801.44	-1888.45	-1755.98	1.00e-05	1.00e-02
2oxoadp[c]	-742.72	7.35	-481.76	-525.86	-479.23	1.00e-05	1.00e-02
34dhmald[c]	-516.96	14.58	-169.07	-227.33	-152.38	1.00e-05	1.00e-02
34dhoxpeg[c]	-551.93	14.04	-117.05	-174.27	-101.40	1.00e-05	1.00e-02
34dhoxpeg[e]	-551.93	14.04	-105.20	-162.42	-89.55	1.00e-05	1.00e-02
34dhpha[c]	-585.99	14.46	-281.58	-339.61	-265.11	1.00e-05	1.00e-02
amet[c]	-339.34	100000.00	660.96	-195368.73	196649.09	1.00e-05	1.00e-02
ahcys[c]	-280.72	17.48	589.10	525.15	611.49	1.00e-05	1.00e-02
homoval[c]	-555.63	14.50	-164.21	-222.31	-147.67	1.00e-05	1.00e-02
34dhphe[e]	-585.82	14.57	-94.44	-152.69	-77.76	1.00e-05	1.00e-02
34dhphe[c]	-585.82	14.57	-107.47	-165.72	-90.79	1.00e-05	1.00e-02
34dhpac[c]	-359.03	14.60	-11.13	-69.44	5.61	1.00e-05	1.00e-02
34dhoxmand[c]	-743.92	14.49	-439.52	-497.61	-422.99	1.00e-05	1.00e-02
34hpp[m]	-478.58	16.39	-141.02	-202.83	-120.78	1.00e-05	1.00e-02
34hpl[m]	-540.79	11.17	-106.75	-158.32	-96.74	1.00e-05	1.00e-02
co2[c]	-386.00	25.17	-386.00	-465.02	-348.54	1.00e-05	1.00e-02
34hpp[c]	-478.58	16.39	-174.15	-235.96	-153.91	1.00e-05	1.00e-02
hgentis[c]	-585.99	14.46	-281.56	-339.59	-265.09	1.00e-05	1.00e-02
35cgmp[c]	-570.55	160356.75	-92.29	-314421.20	314195.06	1.00e-05	1.00e-02
35cgmp[n]	-570.55	160356.75	-92.29	-314421.20	314195.06	1.00e-05	1.00e-02
3aib[m]	-359.86	4.70	74.30	35.40	71.63	1.00e-05	1.00e-02
2mop[m]	-459.85	4.74	-218.64	-257.61	-221.23	1.00e-05	1.00e-02
glu_L[m]	-696.56	6.36	-310.75	-352.90	-310.16	1.00e-05	1.00e-02
3aib[c]	-359.86	4.70	31.56	-7.34	28.89	1.00e-05	1.00e-02
3dphb[m]	520.78	85.35	4621.26	4424.29	4776.68	1.00e-05	1.00e-02
3dpdhb[m]	324.00	86.07	4424.39	4226.00	4581.22	1.00e-05	1.00e-02
3dsphgn[c]	-200.72	19.99	1450.46	1381.59	1477.77	1.00e-05	1.00e-02
sphgn[c]	-233.17	20.14	1506.49	1437.33	1534.09	1.00e-05	1.00e-02
3hanthrn[c]	-418.87	13.76	-114.44	-171.09	-99.35	1.00e-05	1.00e-02
cmusa[c]	-663.82	12.70	-403.60	-458.18	-390.59	1.00e-05	1.00e-02
b2coa[m]	-3195.89	31.10	-1459.22	-1549.86	-1410.14	1.00e-05	1.00e-02
3hbcoa_R[m]	-3433.69	31.13	-1600.50	-1691.19	-1551.37	1.00e-05	1.00e-02
3hibutcoa[m]	-3414.25	29.33	-1581.07	-1668.24	-1535.46	1.00e-05	1.00e-02
