Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
10FTHF5GLUtl	0.00	141421.39	-11.47	-277215.22	277192.27
10FTHF5GLUtm	0.00	141421.39	-89.74	-277293.49	277114.01
10FTHF6GLUtl	0.00	141421.40	-14.54	-277218.30	277189.21
10FTHF6GLUtm	0.00	141421.40	-104.73	-277308.48	277099.03
10FTHF7GLUtl	0.00	141421.40	-15.10	-277218.86	277188.66
10FTHF7GLUtm	0.00	141421.40	-119.65	-277323.41	277084.11
10FTHFtl	0.00	160356.76	-4.93	-314321.98	314312.13
10FTHFtm	0.00	160356.76	26.96	-314290.09	314344.02
11DOCRTSLtm	0.00	354562.11	0.00	-694959.55	694959.55
11DOCRTSLtr	0.00	354562.11	0.00	-694959.55	694959.55
11DOCRTSTRNtm	0.00	354562.11	0.00	-694959.55	694959.55
11DOCRTSTRNtr	0.00	354562.11	0.00	-694959.55	694959.55
13DAMPPOX	-118.51	47.32	-118.36	-265.47	-8.08
1a_24_25VITD2Hm	-431.36	151185.81	-430.68	-296788.26	295965.82
1a_25VITD2Hm	-431.43	151185.81	-430.75	-296788.33	295965.74
1MNCAMti	-1735.36	100000.01	-1734.23	-197797.72	194271.54
1PPDCRp	-62.52	47.02	-62.33	-190.11	65.45
24_25DHVITD2t	0.00	151185.81	0.00	-296341.99	296341.99
24_25DHVITD2tm	0.00	151185.81	-0.00	-296341.99	296341.99
24_25DHVITD3t	0.00	151185.80	0.00	-296341.99	296341.99
24_25DHVITD3tm	0.00	151185.80	-0.00	-296341.99	296341.99
24_25VITD2Hm	-431.43	151185.81	-430.75	-296788.33	295965.74
24_25VITD3Hm	-424.27	151185.81	-423.59	-296781.17	295972.90
24NPHte	0.00	141421.36	0.84	-277202.84	277204.51
25HVITD2t	0.00	151185.81	0.00	-296341.99	296341.99
25HVITD2tin_m	0.00	151185.81	0.00	-296341.99	296341.99
25HVITD3t	0.00	151185.80	0.00	-296341.99	296341.99
25HVITD3tin_m	0.00	151185.80	0.00	-296341.99	296341.99
25VITD2Hm	-431.36	151185.81	-430.68	-296788.26	295965.82
25VITD3Hm	-431.36	151185.81	-430.68	-296788.26	295965.81
2AMACHYD	-38.89	26.30	-38.82	-126.93	12.46
2AMACSULT	446.97	100000.01	446.36	-195610.51	196492.48
2AMADPTm	0.00	15.66	-15.06	-81.39	51.26
2DR1PP	-23.12	11.19	-23.87	-81.42	2.80
2HBO	59.04	42.92	58.66	-60.57	163.93
2HBt2	0.00	37.89	-0.00	-92.08	92.08
2HCO3_NAt	0.00	141421.36	2.66	-277255.59	277219.84
2MCITt	0.00	11.05	-8.66	-48.13	30.80
2OXOADOXm	-75.08	57.88	-74.98	-250.56	62.21
2OXOADPTm	0.00	14.08	0.00	-63.22	63.22
34DHOXPEGOX	-64.44	45.32	-64.06	-174.02	59.87
34DHOXPEGt	0.00	19.86	-0.03	-56.76	56.71
34DHPHAMT	88.97	100000.01	88.26	-195947.38	196123.90
34DHPHEt	0.00	20.61	0.04	-58.16	58.24
34DHPLACOX	22.72	63.13	21.60	-137.25	166.49
34DHPLACOX_NADP_	22.98	64.23	21.88	-132.31	186.81
34DHXMANDACOX	22.72	63.14	21.60	-137.25	166.49
34DHXMANDACOX_NADP_	22.98	64.23	21.88	-132.31	186.81
34HPLFM	-91.68	45.13	-91.00	-199.31	44.22
34HPPOR	-509.81	41.77	-509.80	-627.30	-392.31
35CGMPtn	0.00	226778.69	0.00	-444504.04	444504.04
3AIBTm	-8.02	11.40	-7.91	-65.89	50.07
3AIBtmi	0.00	6.64	0.02	-30.82	30.85
3DPHBH1	-462.86	130.35	-462.26	-725.71	-130.34
3DPHBH2	-463.13	130.88	-462.53	-752.44	-133.70
3DSPHR	-62.18	50.88	-60.32	-199.09	67.70
3HAO	-261.35	40.22	-262.81	-347.58	-136.48
3HBCDm	-17.59	44.22	-17.56	-122.03	86.92
3HBCOAHLm	16.04	48.18	15.26	-112.76	113.19
3HKYNAKGAT	-11.30	25.63	-11.27	-97.13	74.60
3HLYTCL	-44.58	41.57	-43.81	-172.79	43.60
3M4HDXPAC	22.72	63.10	21.60	-137.17	166.41
3MLDAt	0.00	18.76	-2.75	-57.32	51.83
3MOBt2im	0.00	36.39	0.00	-89.14	89.15
3MOPt2im	0.00	36.50	0.00	-89.35	89.35
3MOX4HOXPGALDOX	22.72	63.06	21.60	-137.11	166.35
3MOX4HOXPGALDOX_NADP_	22.98	64.16	21.88	-132.18	186.67
3MOXTYROX	-125.05	48.54	-125.14	-274.65	-12.46
3SALAASPm	0.00	141421.36	-14.74	-277236.23	277206.75
3SALACBOXL	-60.73	141421.37	-59.21	-277292.59	277132.61
3SALAOX	-16.40	282842.72	-15.03	-554410.52	554422.02
3SALATAi	-58.69	141421.36	-57.92	-277279.41	277163.58
3SALATAim	-58.69	141421.36	-57.73	-277279.22	277163.76
3SPYRSP	-245.34	100000.01	-248.35	-196295.87	195757.60
3SPYRSPm	-245.34	100000.01	-252.00	-196299.51	195753.96
41R1H2MAE12BOOX	-93.11	100000.01	-93.07	-196158.41	195930.70
41R2A1H12BOOX	-125.05	48.78	-125.09	-275.07	-11.93
42A12BOOX	-125.05	48.80	-125.15	-275.16	-11.96
4ABUTtm	0.00	9.22	-0.02	-35.90	35.87
4HBZCOAFm	242.82	80.54	48.49	-171.53	230.10
4HBZFm	19.47	50.41	19.47	-112.92	121.78
4HDEBRISOQUINEte	0.00	141421.37	-2.89	-277206.59	277200.80
4HGLSDm	35.03	60.10	34.03	-130.53	171.68
4HOXPACDOX_NADP_	22.98	62.71	21.88	-129.32	183.82
4MOPt2im	0.00	37.70	0.00	-91.71	91.71
4MPTNLte	0.00	8.94	0.00	-35.34	35.34
4MPTNLtm	0.00	8.94	0.00	-35.34	35.34
4MTOLBUTAMIDEte	0.00	141421.36	0.00	-277203.67	277203.68
4NPHSFte	0.00	173205.08	2.89	-339496.88	339502.67
4NPHSULT	-233.50	158113.89	-231.24	-310170.09	309707.60
4NPHte	0.00	141421.36	0.91	-277202.77	277204.58
4PYRDX	-1735.36	100000.01	-1737.25	-197800.75	194268.51
5ADTSTSTERONEGLCte	-1735.36	368394.21	-1737.25	-723853.38	720321.14
5ADTSTSTERONEGLCtr	0.00	354562.11	0.00	-694959.55	694959.55
