Reaction ID	Standard reaction Gibbs energy (kJ/mol)	Uncertainty corresponding to 95% confidence interval (kJ/mol)	Standard transformed reaction Gibbs energy (kJ/mol)	Minimum transformed reaction Gibbs energy (kJ/mol)	Maximum transformed reaction Gibbs energy (kJ/mol)
10FTHF5GLUtl	0.00	244949.03	-11.47	-480129.39	480106.45
10FTHF5GLUtm	0.00	244949.03	-89.74	-480207.66	480028.18
10FTHF6GLUtl	0.00	734846.94	-14.54	-1440332.35	1440303.27
10FTHF6GLUtm	0.00	734846.94	-104.73	-1440422.54	1440213.08
10FTHF7GLUtl	0.00	244949.09	-15.10	-480133.13	480102.94
10FTHF7GLUtm	0.00	244949.09	-119.65	-480237.68	479998.38
10FTHFtl	0.00	163299.34	-4.93	-320089.44	320079.59
10FTHFtm	0.00	163299.34	26.96	-320057.55	320111.48
11DOCRTSLtm	0.00	354562.12	0.00	-694959.56	694959.56
11DOCRTSLtr	0.00	354562.12	0.00	-694959.56	694959.56
11DOCRTSTRNtm	0.00	354562.12	0.00	-694959.56	694959.56
11DOCRTSTRNtr	0.00	354562.12	0.00	-694959.56	694959.56
13DAMPPOX	-116.11	223606.81	-115.96	-438439.66	438170.92
1a_24_25VITD2Hm	-448.16	222539.51	-447.48	-436658.30	435802.25
1a_25VITD2Hm	-441.21	222539.51	-440.53	-436651.35	435809.20
1MNCAMti	-857.26	141421.38	-856.12	-278105.51	276335.53
1PPDCRp	-44.89	163299.34	-44.71	-320147.04	320057.62
24_25DHVITD2t	0.00	151185.83	0.00	-296342.05	296342.05
24_25DHVITD2tm	0.00	151185.83	-0.00	-296342.05	296342.05
24_25DHVITD3t	0.00	151185.83	0.00	-296342.04	296342.04
24_25DHVITD3tm	0.00	151185.83	-0.00	-296342.04	296342.04
24_25VITD2Hm	-441.21	222539.51	-440.53	-436651.35	435809.21
24_25VITD3Hm	-435.72	222539.51	-435.04	-436645.86	435814.69
24NPHte	0.00	141421.36	0.84	-277202.84	277204.52
25HVITD2t	0.00	151185.83	0.00	-296342.05	296342.05
25HVITD2tin_m	0.00	151185.83	0.00	-296342.05	296342.05
25HVITD3t	0.00	151185.83	0.00	-296342.04	296342.04
25HVITD3tin_m	0.00	151185.83	0.00	-296342.04	296342.04
25VITD2Hm	-448.16	222539.51	-447.48	-436658.30	435802.25
25VITD3Hm	-448.16	222539.50	-447.48	-436658.30	435802.25
2AMACHYD	-36.21	41.92	-36.15	-154.85	45.74
2AMACSULT	-1887.76	227303.06	-1888.38	-447459.22	443671.73
2AMADPTm	0.00	79.35	-15.06	-206.21	176.08
2DR1PP	-8.51	35.53	-9.25	-114.52	65.13
2HBO	49.21	163299.34	48.84	-320052.97	320136.68
2HBt2	0.00	57.03	-0.00	-129.60	129.59
2HCO3_NAt	0.00	141421.39	2.66	-277255.65	277219.90
2MCITt	0.00	104.95	-8.66	-232.18	214.85
2OXOADOXm	-13.79	326598.66	-13.68	-640209.20	640143.44
2OXOADPTm	0.00	100.07	0.00	-231.76	231.76
34DHOXPEGOX	-64.26	163299.34	-63.89	-320151.72	320037.92
34DHOXPEGt	0.00	25.52	-0.03	-67.86	67.81
34DHPHAMT	36.21	129099.46	35.51	-253035.07	253106.08
34DHPHEt	0.00	25.01	0.04	-66.80	66.87
34DHPLACOX	387.35	173205.11	386.23	-339130.89	339889.39
34DHPLACOX_NADP_	388.61	173205.12	387.51	-339122.82	339908.57
34DHXMANDACOX	387.35	173205.11	386.23	-339130.89	339889.39
34DHXMANDACOX_NADP_	388.61	173205.12	387.51	-339122.81	339908.57
34HPLFM	-49.21	182574.20	-48.53	-357913.82	357843.67
34HPPOR	-480.14	81649.68	-480.14	-160549.13	159588.85
35CGMPtn	0.00	163299.32	0.00	-320084.48	320084.48
3AIBTm	-17.12	61.92	-17.02	-174.00	139.97
3AIBtmi	0.00	8.87	0.02	-35.19	35.22
3DPHBH1	-472.38	182574.29	-471.79	-358325.36	357450.27
3DPHBH2	-473.65	182574.30	-473.05	-358352.06	357444.87
3DSPHR	-50.48	216024.71	-48.62	-423496.09	423388.12
3HAO	-312.68	58.83	-314.14	-435.39	-151.33
3HBCDm	-4.52	282842.73	-4.49	-554394.04	554385.07
3HBCOAHLm	6.03	282842.73	5.24	-554400.10	554380.50
3HKYNAKGAT	374.60	57735.06	374.63	-112821.71	113570.98
3HLYTCL	-17.42	100000.01	-16.66	-196064.19	195989.31
3M4HDXPAC	387.35	173205.11	386.23	-339130.89	339889.39
3MLDAt	0.00	43.02	-2.75	-104.88	99.39
3MOBt2im	0.00	58.74	0.00	-132.94	132.94
3MOPt2im	0.00	58.88	0.00	-133.22	133.22
3MOX4HOXPGALDOX	387.35	173205.11	386.23	-339130.89	339889.39
3MOX4HOXPGALDOX_NADP_	388.61	173205.12	387.51	-339122.82	339908.57
3MOXTYROX	-116.11	100000.02	-116.20	-196170.60	195901.38
3SALAASPm	0.00	141421.37	-14.74	-277236.24	277206.76
3SALACBOXL	-37.64	141421.38	-36.11	-277269.51	277155.73
3SALAOX	-1552.10	244949.00	-1550.73	-481674.52	478614.62
3SALATAi	14.92	141421.38	15.70	-277205.83	277237.22
3SALATAim	14.92	141421.38	15.88	-277205.65	277237.40
3SPYRSP	-266.52	100000.02	-269.53	-196317.06	195736.45
3SPYRSPm	-266.52	100000.02	-273.17	-196320.71	195732.80
41R1H2MAE12BOOX	-41.34	141421.37	-41.31	-277292.50	277168.32
41R2A1H12BOOX	-116.11	100000.02	-116.15	-196170.55	195901.43
42A12BOOX	-116.11	100000.02	-116.21	-196170.61	195901.37
4ABUTtm	0.00	10.58	-0.02	-38.57	38.53
4HBZCOAFm	20.17	432049.40	18.81	-846860.17	846859.39
4HBZFm	329.79	288675.15	329.79	-565507.09	566136.60
4HDEBRISOQUINEte	0.00	141421.37	-2.89	-277206.59	277200.80
4HGLSDm	12.75	163299.35	11.75	-320101.73	320098.32
4HOXPACDOX_NADP_	388.61	173205.12	387.51	-339122.82	339908.57
4MOPt2im	0.00	58.88	0.00	-133.22	133.22
4MPTNLte	0.00	13.28	0.00	-43.84	43.84
4MPTNLtm	0.00	13.28	0.00	-43.84	43.84
4MTOLBUTAMIDEte	0.00	141421.36	0.00	-277203.67	277203.68
4NPHSFte	0.00	200000.00	2.89	-392014.92	392020.71
4NPHSULT	-1030.23	223606.81	-1027.98	-439332.96	437277.01
4NPHte	0.00	141421.36	0.91	-277202.77	277204.58
4PYRDX	-857.26	141421.37	-859.15	-278108.52	276332.48
5ADTSTSTERONEGLCte	-857.26	381725.42	-859.15	-749104.46	747328.42
5ADTSTSTERONEGLCtr	0.00	354562.12	0.00	-694959.56	694959.56
5ADTSTSTERONESte	0.00	381725.42	-2.89	-748202.52	748196.74
5ADTSTSTERONESULT	-971.96	394606.51	-972.99	-774437.38	772491.41
5ADTSTSTERONEte	0.00	354562.12	-0.00	-694959.56	694959.56
5ADTSTSTERONEtr	0.00	354562.12	0.00	-694959.56	694959.56
5AOPtm	0.00	10.00	-2.40	-39.82	35.02
5DHFtl	0.00	141421.38	-55.91	-277259.62	277147.80
5FTHFt2	0.00	163299.34	5.48	-320079.03	320090.00
5HLTDL	-17.42	100000.02	-16.67	-196064.21	195989.30
5HOMEPRAZOLEte	0.00	141421.36	0.02	-277203.65	277203.69
5HOXINDACTO2OX	219.61	57735.06	218.87	-112977.48	113415.22
5HOXINOXDA	-116.11	100000.02	-116.19	-196170.60	195901.39
5HTRPVESSEC	-857.26	141421.37	-859.18	-278108.55	276332.45
5MTHFt	0.00	141421.37	2.13	-277201.57	277205.83
5MTHFt2	0.00	141421.37	2.13	-277201.57	277205.83
5THFtl	0.00	141421.36	-11.02	-277214.69	277192.66
5THFtm	0.00	141421.36	-88.83	-277292.50	277114.84
6DHFtl	0.00	141421.36	-11.04	-277214.71	277192.63
6DHFtm	0.00	141421.36	-100.36	-277304.03	277103.31
6HTSTSTERONEte	0.00	354562.11	0.00	-694959.56	694959.56
6HTSTSTERONEtr	0.00	354562.11	0.00	-694959.56	694959.56
6THFtl	0.00	141421.36	-11.04	-277214.71	277192.63
6THFtm	0.00	141421.36	-100.36	-277304.03	277103.31
7DHCHSTEROLtr	0.00	354562.13	0.00	-694959.58	694959.58
7DHFtl	0.00	141421.36	-14.71	-277218.38	277188.96
7DHFtm	0.00	141421.36	-119.08	-277322.75	277084.60
7THFtl	0.00	141421.36	-14.55	-277218.22	277189.12
7THFtm	0.00	141421.36	-118.73	-277322.40	277084.94
A_MANASEly	-18.78	37.17	-18.78	-168.83	48.13
A4GALTc	1116.48	163299.34	-495.63	-320597.96	319606.71
A4GALTg	1116.48	163299.34	-306.47	-320413.87	319784.86
A4GNT1g	504.21	191485.43	503.52	-374848.62	375839.59
A4GNT2g	504.21	191485.43	503.52	-374848.62	375839.59
AACTOOR	-123.52	100000.02	-122.74	-196177.13	195894.84
AACTtm	0.00	141421.36	17.35	-277186.32	277221.03
AASAD3m	12.75	163299.35	11.40	-320102.08	320097.97
AATAi	0.00	79.37	0.00	-191.18	191.18
ABO1g	504.21	191485.43	503.52	-374848.62	375839.59
ABO2g	288.74	191485.43	287.62	-375064.52	375623.69
ABO3g	288.74	191485.43	287.62	-375064.52	375623.69
ABO4g	504.21	191485.43	503.52	-374848.62	375839.59
ABO5g	504.21	191485.43	503.52	-374848.62	375839.59
ABO6g	504.21	191485.43	410.94	-374941.20	375747.00
ABO7g	504.21	191485.43	610.92	-374741.23	375946.98
ABO8g	288.74	191485.43	287.62	-375064.52	375623.69
ABO9g	577.49	294392.05	575.25	-576496.76	577615.10
ABTArm	13.48	61.95	13.38	-143.68	170.43
ABTD	49.21	163299.34	48.84	-320052.97	320136.67
ABTti	0.00	10.17	0.00	-37.75	37.75
ABUTt2rL	0.00	46.69	-1.58	-110.91	107.75
ABUTt4_2_r	0.00	282842.71	-6.01	-554469.06	554374.92
ACACT10m	-15.31	400000.02	-15.31	-784048.54	784006.45
ACACT1rm	24.52	489897.97	24.48	-960197.26	960257.70
ACACT1x	24.52	489897.97	24.46	-960211.19	960260.11
ACACt2m	0.00	57.87	0.00	-131.24	131.24
ACACT4p	-24.52	400000.02	-24.80	-784060.46	784010.87
ACACT5p	-24.52	400000.02	-24.80	-784060.46	784010.87
ACACT6p	-24.52	400000.02	-24.80	-784060.46	784010.87
ACACT7p	-24.52	400000.02	-24.80	-784060.46	784010.87
ACACT8p	-24.52	400000.02	-24.80	-784060.47	784010.87
ACACT9p	-24.52	400000.02	-24.80	-784060.47	784010.88
ACACtx	0.00	35.79	-1.19	-89.15	86.77
ACALDtm	0.00	7.71	-0.00	-32.92	32.92
ACALDtr	0.00	7.71	0.00	-32.92	32.92
ACALDtx	0.00	7.71	0.00	-32.92	32.92
ACCOACm	-846.14	316227.79	-847.06	-620694.45	618998.15
ACCOAgt	0.00	282842.73	-1.28	-554390.83	554388.28
ACCOALm	-1749.29	300000.02	-1746.19	-589799.07	586278.84
ACCOAtn	0.00	282842.73	0.00	-554389.55	554389.55
ACCOAtr	0.00	282842.73	0.00	-554389.55	554389.55
ACETONEt2	0.00	46.79	-2.89	-112.42	106.64
ACETONEt2m	0.00	46.79	-14.96	-124.49	94.58
ACGAGBSIDEtg	0.00	141421.36	-0.00	-277203.67	277203.67
ACGAGBSIDEtl	0.00	141421.36	-0.01	-277203.68	277203.67
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte	0.00	141421.36	-0.00	-277203.67	277203.67
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg	0.00	141421.36	0.00	-277203.67	277203.68
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	0.00	141421.36	-0.00	-277203.67	277203.67
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg	0.00	141421.36	0.00	-277203.67	277203.68
ACGALK	-1004.71	182574.20	-1005.69	-358896.78	356858.55
ACGALK2	-1922.63	173205.09	-1923.61	-341441.22	337594.00
ACGALtlg	0.00	14.09	0.47	-44.95	45.89
ACGALtly	0.00	14.09	2.47	-42.95	47.90
ACGAM6PSi	131.73	310912.65	131.10	-609290.56	609544.05
ACGAMK	-1018.27	182574.20	-1019.38	-358910.47	356844.86
ACGAMPM	11.81	163299.32	11.94	-320072.55	320096.42
ACGAMtly	0.00	14.50	2.47	-43.75	48.70
ACGBGBSIDEtg	0.00	100000.01	373.31	-195644.52	196391.14
ACGBGBSIDEtl	0.00	100000.01	745.79	-195272.04	196763.61
ACGPID	-134.31	141421.36	-133.57	-277366.94	277058.23
ACGSm	131.73	300000.02	131.05	-587890.70	588164.28
ACHEe	15.30	141421.37	14.55	-277218.83	277206.37
ACHtn	0.00	141421.36	0.00	-277203.68	277203.68
